,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
23,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
24,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
25,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
26,分体式水冷套装水冷套装显卡覆盖冷头水泵分体式硬管电脑水冷散热器硬管套装六：双排炫彩灯效套装,10035892839682,梓茈旭帆专卖店,1.0kg,,,,,,,,,,,水冷,,,分体式水冷套装,,,,,,,,,
27,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
28,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
31,,4558819,,,,,,,,,,,,,,,,,,,,,,,,,
32,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
33,,10343697212,,,,,,,,,,,,,,,,,,,,,,,,,
34,,100022090094,,,,,,,,,,,,,,,,,,,,,,,,,
35,鑫谷冰酷240S多彩版,100002748626,,1.63kg,,中国大陆,,240冷排,冰酷240S多彩版,,铝,47mm,4pin,270x120x25mm,水冷,800-1800RPM（±10%）,12VDC,一体式水冷散热器,,RGB,,,,塑料,Intel平台散热器,,铜底焊接
36,九州风神冰凌MINI旗舰版,302653,,320.00g,,中国大陆,2热管,,冰凌MINI旗舰版,,铝,112mm,3pin,119X75X112mm,风冷,2200±10%RPM,12VDC,风冷散热器,ITX机箱,无光,九州风神DEEPCOOL,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
37,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
38,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
39,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
